CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-4222552345386320000,224267,922,2,0,1,0,24,0,84,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,111,STNL to BP,2429,0.2857142857142857,0.041666666666666664,1791
-4138369048716540000,167811,606,16,2,1,0,15,0,47,1,0,1,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,83,STNL to BP,2468,0.3191489361702128,0.06666666666666667,345
-4127958235327640000,48551,201,4,0,0,0,0,0,20,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,STNL to BP,2473,0.0,,143
-4117158027369610000,165708,701,3,0,1,0,24,0,54,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,82,BP to STH,2479,0.4444444444444444,0.041666666666666664,307
-4101739053375660000,196102,833,57,0,0,0,3,0,37,0,0,0,5,1,0,0,37,0,0,0,0,0,0,0,1,0,0,0,97,STNL to BP,2487,0.08108108108108109,0.0,449
-4079143073489770000,135412,527,18,0,1,0,2,0,45,0,0,0,2,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,67,STNL to BP,2497,0.044444444444444446,0.5,0
-4057692432681200000,135448,564,10,0,0,0,14,0,43,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,67,STNL to BP,2507,0.32558139534883723,0.0,443
-3923518654205990000,596104,2309,66,0,17,0,138,1,73,0,0,1,0,1,0,0,51,0,0,0,0,1,0,0,10,0,0,0,295,STNL to BP,2582,1.8904109589041096,0.12318840579710146,220
-3882082170622180000,469196,1816,135,0,4,0,25,0,68,0,0,1,0,0,0,1,122,0,0,0,0,0,0,2,0,0,0,0,232,BP to STH,2610,0.36764705882352944,0.16,1000
-3863844788085150000,181844,653,2,0,0,0,13,0,75,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,STNL to BP,2620,0.17333333333333334,0.0,789
-3855265102936360000,1061382,4410,237,0,30,0,95,0,162,0,0,0,0,17,1,13,202,0,0,0,0,0,0,0,2,0,0,0,525,STNL to BP,2626,0.5864197530864198,0.3157894736842105,131
-3734813821446610000,115221,476,3,0,4,0,13,1,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,57,STNL to BP,2680,0.37142857142857144,0.3076923076923077,973
-3602560543593640000,36426,136,4,0,0,0,2,0,12,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,STNL to BP,2752,0.16666666666666666,0.0,1778
-3594792067647510000,224296,911,4,0,1,0,47,0,57,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111,STNL to BP,2756,0.8245614035087719,0.02127659574468085,185
-3489950998621550000,282950,1230,62,0,1,0,40,0,37,0,0,0,3,1,0,0,51,0,0,0,0,0,0,1,1,0,0,0,140,STNL to BP,2801,1.0810810810810811,0.025,503
-3447538954021850000,105133,416,7,0,0,0,3,0,42,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,STNL to BP,2823,0.07142857142857142,0.0,683
-3440441822802210000,95000,356,2,0,0,0,6,0,39,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,47,STNL to BP,2829,0.15384615384615385,0.0,41
-3344422942640480000,145540,537,9,2,0,0,6,0,54,0,0,0,1,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,72,STNL to BP,2884,0.1111111111111111,0.0,563
