CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-7508572941693007543,2934783,11328,143,0,41,4,502,1,754,1,0,1,0,0,0,6,1,140,0,0,1,0,0,0,0,0,0,0,0,1452,141,0.6657824933687002,0.08167330677290836,769
-7506021333095877586,711795,3114,122,0,7,0,115,0,106,1,0,0,0,0,1,1,0,109,0,0,0,0,1,0,0,1,0,0,0,352,142,1.0849056603773586,0.06086956521739131,84
-7487971866586677493,3012871,11197,37,3,35,0,185,0,1225,1,0,3,3,0,0,5,0,20,0,0,1,0,4,0,1,0,0,0,0,1491,143,0.1510204081632653,0.1891891891891892,166
-7481281797004322268,905251,3540,7,0,3,0,151,0,283,1,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,448,144,0.5335689045936396,0.019867549668874173,516
-7476191308385734251,28311,128,4,0,0,0,3,0,3,1,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,14,145,1.0,0.0,284
-7452282973481394377,703342,2714,4,0,1,0,37,0,302,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,348,147,0.12251655629139073,0.02702702702702703,1096
-7439203152726715289,2636485,10789,575,6,24,1,181,1,511,1,0,5,1,10,4,4,0,530,0,0,1,1,1,0,1,0,0,0,0,1304,148,0.3542074363992172,0.13259668508287292,86
-7419581930595407826,1240965,4846,7,0,2,0,40,0,561,1,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,614,149,0.07130124777183601,0.05,246
-7400541353542728676,913512,3484,19,0,14,0,116,0,299,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,6,0,0,0,0,452,151,0.3879598662207358,0.1206896551724138,304
-7393681040526480484,1269123,4675,3,0,3,0,210,0,406,1,0,1,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,628,152,0.5172413793103449,0.014285714285714285,146
-7389688065396816237,2457487,9050,6,0,40,0,903,0,261,2,1,2,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1216,153,3.4597701149425286,0.044296788482835,1191
-7346830005976703117,3180160,12637,202,0,6,0,421,0,940,1,0,0,0,2,0,4,1,196,0,0,1,0,0,0,0,0,0,0,0,1574,155,0.4478723404255319,0.014251781472684086,446
-7338175807611790913,1394641,5349,123,0,6,0,174,0,380,1,0,2,0,23,11,5,0,47,0,0,1,0,0,0,0,0,0,0,0,690,157,0.45789473684210524,0.034482758620689655,96
-7317305435994751667,1659268,6303,96,0,5,0,63,0,652,1,0,0,0,0,0,4,1,94,0,0,0,0,1,0,0,0,0,0,0,821,158,0.09662576687116564,0.07936507936507936,127
-7290918362482973005,1095642,4221,2,0,15,0,138,0,382,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,542,159,0.3612565445026178,0.10869565217391304,344
-7201629480823667975,1915893,7155,7,0,10,0,305,0,622,1,0,3,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,948,163,0.4903536977491961,0.03278688524590164,1043
-7191743863707500625,5810697,23031,205,7,123,1,1046,2,1482,1,0,10,4,2,22,6,0,96,0,0,5,1,2,0,0,15,1,0,0,2875,164,0.7058029689608637,0.11759082217973231,86
-7140361426555678709,840840,3281,6,0,20,0,80,0,306,1,0,0,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,416,167,0.26143790849673204,0.25,462
-7106146049869854003,1257435,4612,11,0,10,0,296,0,301,1,0,1,0,2,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,622,170,0.9833887043189369,0.033783783783783786,581
-7087685732424346573,2547601,9671,88,0,42,0,661,0,464,1,0,6,0,4,1,4,3,60,0,0,0,0,2,0,2,0,0,0,0,1260,171,1.4245689655172413,0.06354009077155824,165
-7037100740427689507,854965,3018,4,0,25,1,179,1,210,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,423,174,0.8523809523809524,0.13966480446927373,8
-7032901144430219799,2386520,8212,21,0,7,0,205,0,944,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,1181,175,0.21716101694915255,0.03414634146341464,435
-7000546304590468737,1378000,5212,17,0,10,6,165,4,475,1,0,1,0,3,1,4,0,3,0,0,1,0,0,0,0,0,0,0,0,682,179,0.3473684210526316,0.06060606060606061,262
-7000237682643632266,1172648,4336,30,0,16,0,81,0,446,1,0,7,0,4,0,5,7,0,0,0,0,0,1,0,2,0,0,0,0,580,180,0.18161434977578475,0.19753086419753085,147
-6988986505661735448,1461599,5171,2,0,16,0,268,0,433,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,723,182,0.6189376443418014,0.05970149253731343,731
-6969595560452770582,634704,2351,5,0,3,2,54,1,243,1,0,0,0,1,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,314,183,0.2222222222222222,0.05555555555555555,498
-6961043910277105172,20214,107,7,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,10,184,,,259
-6955623260714900407,1802695,6957,119,0,21,0,192,0,555,1,0,1,0,1,0,4,0,104,0,0,0,0,2,0,1,0,0,0,0,892,186,0.34594594594594597,0.109375,587
-6915566866082576086,801177,3247,294,0,11,1,29,1,56,1,0,0,0,19,11,3,0,236,0,0,1,0,0,0,0,8,0,0,0,396,189,0.5178571428571429,0.3793103448275862,17
-6911529833211659508,2335606,7850,21,0,16,0,392,0,720,1,1,2,0,5,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1156,190,0.5444444444444444,0.04081632653061224,312
-6907878090450171136,3592999,14248,15,1,24,2,949,1,783,1,0,4,0,1,0,2,2,0,0,0,0,0,1,0,2,0,0,0,0,1778,192,1.2120051085568326,0.02528977871443625,368
-6870101777733301166,1203078,4812,141,0,26,0,133,0,290,1,0,0,0,0,5,4,0,126,0,0,1,0,1,0,0,0,0,0,0,595,194,0.4586206896551724,0.19548872180451127,331
-6867372357019046655,705276,2675,3,2,1,0,27,0,311,1,1,0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,349,195,0.08681672025723473,0.037037037037037035,1040
-6830880116765687329,860967,3186,39,0,8,0,48,0,325,1,0,0,0,0,0,5,4,34,0,0,1,0,0,0,0,0,0,0,0,426,199,0.1476923076923077,0.16666666666666666,219
-6816618137730096769,2647733,9821,70,0,76,0,99,0,1059,1,0,4,0,23,10,5,0,26,0,0,1,0,0,0,2,0,0,0,0,1310,201,0.09348441926345609,0.7676767676767676,93
-6782153943778719881,131533,444,12,11,13,0,5,0,21,1,0,0,1,1,3,1,0,0,0,0,4,0,2,0,0,0,1,0,0,65,202,0.23809523809523808,2.6,179
-6767590163577966019,1744791,6486,8,0,10,5,597,3,235,1,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,863,205,2.5404255319148934,0.01675041876046901,427
-6764227806832836868,1610642,6177,14,6,18,0,149,0,606,1,0,2,2,3,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,797,206,0.24587458745874588,0.12080536912751678,425
