CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click,Avg_Engagement_per_visit
-8988922058718030000,102994,450,0,0,0,0,12,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,STNL to BP,,0,0,0,1,0.3157894736842105,0.0,0.0
-8988244324406190000,2022,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STNL to BP,,0,0,0,1,,,0.0
-8985727435840100000,428455,1742,0,0,0,0,18,0,193,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,212,STNL to BP,,0,0,0,1,0.09326424870466321,0.0,0.0
-8984026792353930000,153586,539,1,0,0,0,29,0,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,STNL to BP,,0,0,0,1,0.6304347826086957,0.0,0.0
-8983789547518510000,260684,1026,1,0,3,0,46,1,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,129,BP to STH,0.0,0,0,1,0,0.5897435897435898,0.06521739130434782,0.0
-8976421216917760000,62597,232,2,0,0,0,11,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,STNL to BP,0.0,0,0,1,0,0.6111111111111112,0.0,0.0
-8975364831537070000,373914,1471,2,0,1,0,23,0,157,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,185,STNL to BP,0.0,0,0,1,0,0.1464968152866242,0.043478260869565216,0.0
-8975265001460180000,204170,763,5,0,1,0,31,0,63,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,STNL to BP,382.0,0,1,0,0,0.49206349206349204,0.03225806451612903,0.0
-8974552446931730000,594357,2247,71,0,7,1,108,1,105,0,0,0,0,1,1,0,70,0,0,0,0,0,0,0,0,0,0,0,294,BP to STH,,0,0,0,1,1.0285714285714285,0.06481481481481481,inf
-8972926228246840000,80823,315,0,0,1,0,8,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,STNL to BP,,0,0,0,1,0.25806451612903225,0.125,0.0
-8971843883693110000,218198,841,0,0,1,0,20,0,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,STNL to BP,,0,0,0,1,0.23255813953488372,0.05,0.0
