CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,text_incoming_from_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,percent_open,percent_click
346057203392526740,182007,738,60,0,1,0,3,0,26,0,0,0,0,0,0,0,53,0,0,0,0,1,0,2,0,90,BP to STH,50.0,1,0,0,0.11538461538461539,0.3333333333333333
567644861735852055,343554,1292,24,0,7,0,58,0,81,0,0,0,1,1,0,0,12,0,0,0,0,2,0,0,0,170,STNL to BP,728.0,0,1,0,0.7160493827160493,0.1206896551724138
578417161791703271,470720,1808,35,2,3,0,47,1,145,0,0,0,0,5,0,0,6,0,0,1,0,4,0,2,0,233,STNL to BP,363.0,0,1,0,0.32413793103448274,0.06382978723404255
625820055196921066,268948,1154,95,0,3,0,8,0,27,0,0,0,0,0,0,0,91,0,0,0,0,1,0,1,0,133,STNL to BP,94.0,1,0,0,0.2962962962962963,0.375
628776946787236106,341243,1328,12,0,0,0,75,0,82,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,169,BP to STH,829.0,0,0,1,0.9146341463414634,0.0
669157830432312925,68797,214,3,0,0,0,4,0,27,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,34,STNL to BP,0.0,0,0,1,0.14814814814814814,0.0
794040573486514658,551743,1879,3,0,11,0,154,0,105,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,273,STNL to BP,364.0,0,1,0,1.4666666666666666,0.07142857142857142
922978097249955951,535537,2036,10,0,32,0,154,0,68,0,0,1,0,0,1,0,0,0,0,0,0,2,1,5,0,265,STNL to BP,194.0,1,0,0,2.264705882352941,0.2077922077922078
1068723965835185362,52469,254,6,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,STNL to BP,0.0,0,0,1,0.42857142857142855,0.0
1150879983939229082,78866,334,3,0,0,0,11,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,39,STNL to BP,55.0,1,0,0,0.44,0.0
1234276751550834786,76694,289,9,0,0,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,STNL to BP,0.0,0,0,1,0.6111111111111112,0.0
1465911429141035883,36309,145,1,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,BP to STH,0.0,0,0,1,1.125,0.0
1593681140592989207,173531,682,5,0,0,0,25,0,56,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,86,STNL to BP,352.0,0,1,0,0.44642857142857145,0.0
1784236554793034450,56630,161,2,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,28,STNL to BP,46.0,1,0,0,0.13043478260869565,0.0
2261765851717197188,171810,651,5,0,0,0,25,0,55,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,85,STNL to BP,0.0,0,0,1,0.45454545454545453,0.0
2333101661192158738,78798,318,17,0,0,0,7,0,15,0,0,0,0,1,0,0,11,0,0,0,0,2,0,3,0,39,STNL to BP,544.0,0,1,0,0.4666666666666667,0.0
2430652856940440753,94821,317,1,0,0,0,18,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47,BP to STH,0.0,0,0,1,0.6428571428571429,0.0
2513991737160357735,159362,625,1,0,0,0,52,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79,STNL to BP,0.0,0,0,1,2.0,0.0
2517967177670941566,105057,399,1,0,3,0,11,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,BP to STH,0.0,0,0,1,0.2972972972972973,0.2727272727272727
2518091418816306115,283247,1152,81,0,0,0,19,0,40,0,0,0,1,2,0,2,70,0,0,0,0,1,0,0,0,140,STNL to BP,70.0,1,0,0,0.475,0.0
2524057064967838273,165824,665,2,0,3,0,15,0,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,82,STNL to BP,138.0,1,0,0,0.24193548387096775,0.2
2708330760142006990,196249,634,28,0,8,1,41,3,16,0,0,0,0,0,0,0,18,0,1,0,0,2,0,3,0,97,BP to STH,219.0,0,1,0,2.5625,0.1951219512195122
2854464749835862147,60544,246,4,0,0,0,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,30,STNL to BP,64.0,1,0,0,0.3684210526315789,0.0
3269249462741291635,309561,1063,41,0,24,1,63,0,24,0,0,1,0,0,0,0,35,0,0,0,0,2,0,0,0,153,BP to STH,315.0,0,1,0,2.625,0.38095238095238093
3446703513997072692,113188,453,2,0,1,0,5,0,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,56,STNL to BP,163.0,1,0,0,0.10416666666666667,0.2
3787727130846742563,289005,930,8,0,49,0,18,0,68,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,143,STNL to BP,368.0,0,1,0,0.2647058823529412,2.7222222222222223
3984603102462921359,420730,1586,37,0,12,3,28,7,121,0,0,0,0,4,0,0,31,0,0,0,0,2,0,0,0,208,STNL to BP,292.0,0,1,0,0.23140495867768596,0.42857142857142855
4023092116417080353,418342,1518,8,0,18,0,82,0,99,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,207,STNL to BP,368.0,0,1,0,0.8282828282828283,0.21951219512195122
4372932323249897788,159604,623,6,0,0,0,9,0,64,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,79,STNL to BP,1448.0,0,0,1,0.140625,0.0
4389818764552366946,329305,1240,14,0,28,0,37,0,84,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,163,STNL to BP,1095.0,0,0,1,0.44047619047619047,0.7567567567567568
4546589125456781174,268558,1141,9,0,2,0,37,0,85,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,133,STNL to BP,727.0,0,1,0,0.43529411764705883,0.05405405405405406
4766756853486505833,220425,873,33,0,1,0,15,0,60,0,0,0,0,7,0,0,21,0,0,0,0,2,0,0,0,109,BP to STH,729.0,0,1,0,0.25,0.06666666666666667
4780108725937612207,28300,94,4,0,0,0,5,0,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,14,STNL to BP,206.0,0,1,0,1.0,0.0
4799381627530118827,186005,670,6,0,1,0,9,0,76,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,92,STNL to BP,360.0,0,1,0,0.11842105263157894,0.1111111111111111
5021868141301562818,729970,2683,36,0,17,0,152,0,156,0,0,0,0,7,0,0,24,0,0,0,0,3,0,0,0,361,STNL to BP,364.0,0,1,0,0.9743589743589743,0.1118421052631579
5042780339743051650,24210,76,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STNL to BP,0.0,0,0,1,0.1,0.0
5113724092572553074,133398,509,9,0,0,0,7,0,50,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,66,STNL to BP,364.0,0,1,0,0.14,0.0
5537068317766498372,104901,370,1,0,0,0,28,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,STNL to BP,0.0,0,0,1,1.2173913043478262,0.0
5931685433673598680,260830,1048,60,0,0,0,19,0,50,0,0,0,0,1,0,0,51,0,0,0,0,7,0,0,0,129,BP to STH,183.0,1,0,0,0.38,0.0
5995385775827806306,404575,1403,28,0,5,0,51,0,116,0,0,0,0,1,0,0,20,0,0,0,0,2,1,2,0,200,STNL to BP,121.0,1,0,0,0.4396551724137931,0.09803921568627451
6019253034883342048,186119,944,70,0,0,0,0,1,20,0,1,0,0,0,0,0,64,0,0,0,0,1,0,1,0,92,STNL to BP,108.0,1,0,0,0.0,
6035482707323323387,169767,688,13,0,0,0,32,0,39,0,0,0,0,1,0,0,0,0,5,0,0,3,0,1,0,84,STNL to BP,123.0,1,0,0,0.8205128205128205,0.0
6207896775180062030,129166,472,7,0,0,0,29,0,28,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,64,STNL to BP,81.0,1,0,0,1.0357142857142858,0.0
6317676185165226208,456955,1712,32,1,10,0,76,0,106,0,0,0,0,5,1,0,23,0,1,0,0,2,0,1,0,226,BP to STH,337.0,0,1,0,0.7169811320754716,0.13157894736842105
6348125179063301482,190196,698,75,0,2,0,0,0,17,0,0,0,0,0,0,0,71,0,0,0,0,1,0,2,0,94,STNL to BP,64.0,1,0,0,0.0,inf
6371057237398760202,285218,1065,12,0,8,0,23,0,98,0,0,1,0,2,0,0,6,0,0,0,0,2,0,1,0,141,STNL to BP,219.0,0,1,0,0.23469387755102042,0.34782608695652173
6498433799265601470,453133,1824,107,0,4,0,5,0,107,0,0,1,0,0,1,0,95,0,0,0,0,2,0,6,0,224,STNL to BP,86.0,1,0,0,0.04672897196261682,0.8
6579223138005235987,127300,514,4,0,1,0,30,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,63,STNL to BP,452.0,0,1,0,1.0714285714285714,0.03333333333333333
