primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
0,0,0,2,0,0,14,0,0.18421052631578946,0.75,623
0,0,0,1,0,0,0,1,0.05263157894736842,1.0,73
0,0,0,1,0,0,5,0,0.2727272727272727,1.0,163
2,0,0,5,5,0,0,0,2.4651741293532337,0.04994954591321897,3922
0,0,0,2,1,0,4,0,0.21611721611721613,0.22033898305084745,793
0,0,0,2,0,0,6,3,0.7556390977443609,0.12935323383084577,1079
0,0,0,2,0,1,13,1,0.7771428571428571,0.16176470588235295,436
0,0,0,2,0,0,10,0,0.2535612535612536,0.20224719101123595,668
0,0,1,2,0,1,9,0,0.12972972972972974,0.9166666666666666,861
0,0,0,1,0,0,2,0,3.8095238095238093,0.1125,203
0,0,0,1,0,0,10,0,0.1875,1.1666666666666667,156
0,1,0,2,0,0,1,0,0.9156626506024096,0.13815789473684212,728
0,0,0,1,0,0,2,0,0.09803921568627451,0.0,245
0,0,0,1,0,0,0,0,1.0,0.13333333333333333,110
1,0,0,2,0,0,6,1,2.0060975609756095,0.060790273556231005,861
0,0,0,5,0,0,9,0,1.3313953488372092,0.1331877729257642,1251
0,0,0,2,0,0,3,0,1.2074468085106382,0.1013215859030837,728
0,0,0,1,0,0,3,1,0.30434782608695654,0.14285714285714285,167
1,0,1,1,0,1,6,0,0.8717948717948718,0.20588235294117646,655
0,0,0,1,0,0,1,0,0.7211538461538461,0.18666666666666668,214
0,0,0,1,0,0,9,0,0.9230769230769231,0.05555555555555555,176
0,0,0,1,0,0,2,0,0.008695652173913044,2.0,459
0,0,0,2,0,0,22,2,0.6923076923076923,0.16666666666666666,517
0,0,0,1,0,0,0,0,1.5384615384615385,0.55,50
1,0,0,6,0,0,3,0,0.8696741854636592,0.09510086455331412,829
2,0,2,3,2,0,0,0,0.08766233766233766,0.9629629629629629,1131
0,0,0,1,0,0,0,0,2.127659574468085,0.27,207
0,0,0,1,0,0,0,0,1.4696969696969697,0.1134020618556701,222
1,0,0,10,0,0,38,0,1.2458654906284454,0.12300884955752213,3160
0,0,0,1,0,0,4,0,0.7692307692307693,0.075,120
1,0,0,1,0,0,5,0,1.1012658227848102,0.19540229885057472,421
0,0,0,1,0,0,0,0,1.4615384615384615,0.0,104
0,0,0,2,0,0,0,0,1.4620253164556962,0.09956709956709957,710
0,0,0,1,0,0,0,0,0.05813953488372093,0.6,110
0,0,0,1,0,0,0,0,0.6515151515151515,0.3023255813953488,193
0,0,0,1,0,0,3,11,0.08108108108108109,1.0,196
0,0,0,2,0,0,12,0,0.08450704225352113,1.5555555555555556,505
0,0,0,1,0,0,0,0,,,12
0,0,0,2,0,0,9,0,0.12389380530973451,1.0,270
1,0,1,2,0,0,0,0,0.12432432432432433,0.5652173913043478,388
0,0,0,1,0,0,3,0,0.10204081632653061,1.0,308
1,0,0,2,0,0,0,0,0.5329949238578681,0.20952380952380953,482
0,0,0,2,0,0,18,1,0.5642458100558659,0.26732673267326734,660
0,0,0,1,0,0,0,0,0.6851851851851852,0.7297297297297297,612
0,0,0,1,0,0,0,0,0.6862745098039216,0.11428571428571428,165
0,0,0,2,0,0,0,2,0.3049645390070922,0.37209302325581395,464
0,0,0,1,0,0,8,0,0.8833333333333333,0.07547169811320754,173
0,0,0,1,0,0,1,1,0.46296296296296297,0.16,275
0,0,0,1,0,0,7,0,1.0,0.07692307692307693,326
0,0,0,1,0,0,0,0,0.029411764705882353,1.0,92
0,0,0,1,0,0,6,0,2.4545454545454546,0.07407407407407407,97
0,0,0,1,0,0,9,0,0.041666666666666664,0.5,183
0,0,0,2,0,0,0,1,2.142857142857143,0.15555555555555556,407
1,1,0,3,0,0,0,0,0.07777777777777778,0.8571428571428571,518
0,0,0,2,0,0,0,1,0.024390243902439025,1.0,399
0,0,0,3,0,0,31,0,1.2693498452012384,0.15609756097560976,869
0,0,0,1,0,0,8,0,0.07692307692307693,1.2,112
0,0,0,2,0,0,29,0,0.34536082474226804,0.746268656716418,976
0,0,0,2,0,0,9,0,0.6573033707865169,0.13675213675213677,411
0,0,0,2,0,0,17,0,0.7362637362637363,0.1791044776119403,384
0,0,0,1,0,0,1,0,0.16455696202531644,0.46153846153846156,512
0,0,0,1,0,0,2,0,1.1818181818181819,0.0641025641025641,168
0,0,0,1,0,0,5,0,0.18032786885245902,0.36363636363636365,303
0,0,0,2,0,0,4,0,0.32575757575757575,0.3488372093023256,536
0,0,0,1,0,0,0,0,0.883495145631068,0.06593406593406594,246
0,0,0,1,0,0,3,0,0.22340425531914893,0.42857142857142855,265
0,0,0,1,0,0,0,1,0.05102040816326531,0.4,131
1,1,0,1,0,1,2,2,2.8688524590163933,0.17714285714285713,425
0,0,0,2,0,0,8,3,1.572192513368984,0.07482993197278912,940
0,0,0,1,0,2,5,0,2.694915254237288,0.03773584905660377,267
0,0,0,2,0,0,2,0,0.7142857142857143,0.256,424
0,0,0,2,0,0,15,1,0.6535947712418301,0.19,619
0,0,0,2,0,0,1,0,1.6727272727272726,0.21739130434782608,441
0,0,0,2,0,1,10,0,0.06818181818181818,1.0,208
0,0,0,2,0,0,0,0,0.487012987012987,0.12,528
0,0,0,1,0,0,1,0,1.203125,0.05194805194805195,234
0,0,0,2,0,0,4,1,0.22857142857142856,0.125,650
0,0,0,2,0,0,14,0,0.030534351145038167,1.75,774
0,0,0,2,0,0,5,0,0.302158273381295,0.5476190476190477,747
0,0,0,2,0,0,0,0,1.1229235880398671,0.28402366863905326,1258
0,0,0,1,0,0,4,0,1.0806451612903225,0.014925373134328358,267
0,0,0,2,0,0,5,0,2.64,0.09090909090909091,286
0,0,0,2,0,0,5,0,0.47096774193548385,0.2465753424657534,470
0,0,0,3,0,0,12,0,0.638095238095238,0.23134328358208955,1028
0,0,0,1,0,1,0,0,0.14285714285714285,0.45454545454545453,173
0,0,0,2,0,0,0,0,0.11494252873563218,1.7666666666666666,1870
0,0,1,2,0,0,20,0,0.7277777777777777,0.08396946564885496,662
0,0,0,2,0,0,0,5,0.7754010695187166,0.10344827586206896,712
0,0,1,2,0,0,14,0,0.6736842105263158,0.0625,478
0,0,0,1,0,0,10,0,2.0535714285714284,0.10434782608695652,198
0,0,0,2,0,0,12,0,0.03825136612021858,0.5714285714285714,495
0,0,0,2,0,0,0,0,2.75,0.14772727272727273,220
0,0,0,1,0,0,1,0,0.075,0.16666666666666666,137
0,0,0,1,0,0,7,0,1.9821428571428572,0.036036036036036036,185
0,0,0,2,0,0,2,0,0.18807339449541285,0.8292682926829268,339
0,0,0,1,0,0,10,0,0.5753424657534246,0.23809523809523808,284
0,0,0,1,0,0,11,0,0.7808219178082192,0.10526315789473684,159
0,0,0,1,0,0,0,2,2.6875,0.06976744186046512,237
0,0,0,1,0,0,1,0,3.4615384615384617,0.0,384
0,0,0,1,0,0,4,0,0.0,,132
0,0,0,1,0,0,8,0,0.7755102040816326,0.10526315789473684,176
0,0,0,2,0,0,0,0,0.8248175182481752,0.168141592920354,618
0,0,0,2,0,0,6,0,1.5138888888888888,0.0764525993883792,1027
0,0,1,2,0,0,0,0,0.05188679245283019,0.9090909090909091,556
0,0,0,1,0,0,2,1,1.1842105263157894,0.03333333333333333,312
0,0,0,1,0,0,0,0,0.08333333333333333,2.0,387
0,0,0,2,0,0,14,1,0.17575757575757575,0.3448275862068966,763
0,0,0,2,0,0,0,0,0.48466257668711654,0.10126582278481013,387
0,0,0,2,0,0,6,0,2.569060773480663,0.07956989247311828,793
0,0,0,2,0,0,13,0,0.10559006211180125,1.1176470588235294,848
0,0,0,1,0,0,4,0,1.1547619047619047,0.15463917525773196,249
0,0,0,2,0,0,0,0,0.8,0.375,178
0,0,0,1,0,0,0,3,0.14754098360655737,1.8888888888888888,184
0,0,0,1,0,0,5,0,0.38028169014084506,0.18518518518518517,287
1,0,0,3,0,1,4,2,0.3106060606060606,0.5121951219512195,1053
0,0,0,1,0,0,0,0,1.7176470588235293,0.0410958904109589,316
3,2,2,4,0,0,0,13,0.8790697674418605,0.4444444444444444,1177
0,0,0,1,0,0,5,0,4.0476190476190474,0.011764705882352941,827
47,0,24,86,12,0,0,0,4.700787401574803,0.020938023450586266,2887
0,0,1,1,0,0,0,0,1.118279569892473,0.17307692307692307,409
0,0,0,1,0,0,0,0,0.5409836065573771,0.06060606060606061,202
0,0,0,1,0,1,5,0,2.6875,0.27906976744186046,227
1,0,0,1,0,0,2,0,0.30303030303030304,0.25,125
1,0,0,2,0,0,7,0,0.28870292887029286,0.21739130434782608,540
0,0,0,1,0,0,1,1,0.7717391304347826,0.15492957746478872,246
0,0,0,1,0,0,5,0,1.0408163265306123,0.7058823529411765,243
0,0,0,2,0,1,4,1,0.2658959537572254,0.32608695652173914,565
0,0,0,2,0,0,0,0,0.07006369426751592,1.0,418
1,1,0,2,0,0,2,0,0.38846153846153847,0.1782178217821782,1080
0,0,0,1,0,0,3,0,0.43103448275862066,0.24,191
0,0,0,2,0,0,17,0,0.4406779661016949,0.40384615384615385,439
0,0,0,1,0,0,9,0,0.2,0.3333333333333333,53
0,0,0,2,0,0,3,0,0.27710843373493976,0.32608695652173914,575
0,0,0,2,0,3,12,0,1.7692307692307692,0.10869565217391304,904
0,0,0,1,0,0,0,0,2.284313725490196,0.04721030042918455,627
0,0,0,1,0,0,0,0,0.3090909090909091,0.11764705882352941,179
0,1,0,1,0,0,2,0,0.9545454545454546,0.07142857142857142,284
0,0,0,2,0,0,13,0,0.3870967741935484,0.2916666666666667,380
0,0,0,1,0,0,3,0,0.98,0.12244897959183673,122
0,0,0,1,0,0,1,0,0.020833333333333332,1.0,57
0,0,0,2,0,0,13,0,0.6847290640394089,0.050359712230215826,969
0,0,0,2,0,0,12,0,0.08783783783783784,1.1538461538461537,470
0,0,0,2,0,2,1,0,0.2236024844720497,0.3888888888888889,571
0,0,0,1,0,0,8,0,0.3582089552238806,0.041666666666666664,198
0,1,0,2,0,0,13,0,1.0273972602739727,0.13333333333333333,441
0,0,0,7,0,2,23,11,2.792998477929985,0.03596730245231607,3139
0,0,0,2,0,0,8,2,1.7095435684647302,0.14563106796116504,983
0,0,0,1,0,0,3,1,0.10256410256410256,0.75,391
0,0,0,2,0,0,6,0,1.0615384615384615,0.17391304347826086,335
0,0,0,2,0,0,6,0,1.1857142857142857,0.06626506024096386,427
0,0,0,2,0,0,3,0,0.6956521739130435,0.11607142857142858,430
